indicator_code,indicator_label,spatial_level,region_or_country,year,numeric_value,value,ci_low,ci_high,disagg_dim1,disagg_dim1_code,source_file,TimeDimensionBegin,TimeDimensionEnd,Region name,Category
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2017,12.76596,13,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2017,12/31/2017,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2017,4.25532,4,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2017,12/31/2017,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2017,2.12766,2,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2017,12/31/2017,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2017,2.12766,2,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2017,12/31/2017,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2017,78.7234,79,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2017,12/31/2017,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2018,23.40426,23,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2018,12/31/2018,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2018,4.25532,4,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2018,12/31/2018,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2018,2.12766,2,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2018,12/31/2018,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2018,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2018,12/31/2018,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2018,70.21277,70,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2018,12/31/2018,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2019,27.65957,28,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2019,12/31/2019,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2019,2.12766,2,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2019,12/31/2019,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2019,2.12766,2,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2019,12/31/2019,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2019,8.51064,9,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2019,12/31/2019,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2019,59.57447,60,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2019,12/31/2019,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2020,27.65957,28,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED01,AMRGLASS_COORD02,1/1/2020,12/31/2020,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2020,4.25532,4,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED02,AMRGLASS_COORD02,1/1/2020,12/31/2020,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2020,0,0,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED03,AMRGLASS_COORD02,1/1/2020,12/31/2020,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2020,17.02128,17,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED04,AMRGLASS_COORD02,1/1/2020,12/31/2020,Africa,Coordination
AMRGLASS_COORD02,Coordination — National AMR action plan implemented,REGION,AFR,2020,51.06383,51,,,AMRGLASSCATEGORY,AMRGLASS_ISITESTABLISHED05,AMRGLASS_COORD02,1/1/2020,12/31/2020,Africa,Coordination
